# Symbol Reference File
# Format: SYMBOL_NAME ADDRESS
# Generated from: hdae5000/hd-ae5000_v2_06i.map
#
HDAE5000_ROM_HEADER 0x280000
HDAE5000_ENTRY_1 0x280008
HDAE5000_ENTRY_2 0x280010
HDAE5000_ENTRY_3 0x280018
HDAE5000_ENTRY_4 0x28001C
HDAE5000_HANDLER_REGISTRATION 0x280020
HDAE5000_ALLOC_MEMORY_1 0x28030E
HDAE5000_ALLOC_MEMORY_2 0x28033B
HDAE5000_ALLOC_MEMORY_3 0x280368
HDAE5000_ALLOC_MEMORY_4 0x280395
HDAE5000_REGISTER_FRAME 0x2803C2
HDAE5000_ALLOC_MEMORY 0x28F543
HDAE5000_GET_INIT_FLAG 0x28F570
HDAE5000_BOOT_INIT 0x28F576
HDAE5000_FRAME_HANDLER 0x28F662
HDAE5000_FRAME_HANDLER_STATUS 0x28F6E0
HDAE5000_FRAME_HANDLER_EXIT 0x28F781
HDAE5000_CLEAR_WORK_BUFFER 0x28F785
HDAE5000_DELAY_LOOP 0x28F7DD
HDAE5000_VGA_PORT_WRITE 0x28F7EE
HDAE5000_PALETTE_SETUP 0x28F813
HDAE5000_LOAD_PALETTE 0x28F8E0
HDAE5000_FINALIZE_INIT 0x28F90B
HDAE5000_DISPLAY_INIT 0x28F90C
HDAE5000_PPORT_CMD_TABLE 0x2953E2
HDAE5000_PPORT_PTRS 0x295412
HDAE5000_PPORT_STRINGS 0x29541E
HDAE5000_CODE_2_PARTB 0x295642
HDAE5000_CHECK_HD_PRESENT 0x2971A3
HDAE5000_RAM_TEST 0x2971B7
HDAE5000_MEMCOPY 0x29AE9F
HDAE5000_MEMFILL 0x29AEC7
HDAE5000_STRCOPY 0x29AF0B
HDAE5000_CODE_REMAINDER 0x29AF2D
