# Symbol Reference File
# Format: SYMBOL_NAME ADDRESS
LED_PATTERNS_INDICATING_FIRMWARE_VERSION 0xE00000
LABEL_E00008 0xE00008
LABEL_E00010 0xE00010
LABEL_E00012 0xE00012
LABEL_E00023 0xE00023
LABEL_E00028 0xE00028
SLIDE_STRING 0xE00032
FILETYPE_SIG_PROGRAM_1 0xE00038
FILETYPE_SIG_PROGRAM_2 0xE00060
LABEL_E00065 0xE00065
LABEL_E00073 0xE00073
LABEL_E0007C 0xE0007C
FILETYPE_SIG_PROGRAM_PCK 0xE00088
FILETYPE_SIG_TABLE_1 0xE000B0
LABEL_E000C3 0xE000C3
FILETYPE_SIG_TABLE_2 0xE000D8
FILETYPE_SIG_TABLE_PCK 0xE00100
LABEL_E00111 0xE00111
LABEL_E00113 0xE00113
FILETYPE_SIG_CMPCUSTOM 0xE00128
FILETYPE_SIG_HDAE_PRG 0xE00150
HANDLE_UPDATE_OFFSETS 0xE00178
SLIDE_STRING_2 0xE00188
BITMAP_1BIT_FLASH_MEMORY_UPDATE 0xE0018E
LABEL_E0019E 0xE0019E
LABEL_E00302 0xE00302
BITMAP_1BIT_NOW_ERASING 0xE003F6
BITMAP_1BIT_FD_TO_FLASH_MEMORY 0xE0065E
LABEL_E00800 0xE00800
BITMAP_1BIT_COMPLETED 0xE008C6
LABEL_E00B04 0xE00B04
LABEL_E00B28 0xE00B28
BITMAP_1BIT_PLEASE_WAIT 0xE00B2E
BITMAP_1BIT_CHANGE_FD_2_OF_2 0xE00D96
BITMAP_1BIT_ILLEGAL_DISK 0xE00FFE
BITMAP_1BIT_TURN_ON_AGAIN 0xE01266
SSF_GateStates_Mode00 0xE014CE
SSF_GateStates_Mode01 0xE014D0
SSF_GateStates_Mode02 0xE0157E
SSF_GateStates_Mode03 0xE01580
SSF_GateStates_Mode04 0xE0174A
SSF_GateStates_Mode05 0xE0174E
SSF_GateStates_Mode06 0xE0176C
SSF_GateStates_Mode07 0xE0178A
SSF_GateStates_Mode08 0xE0178E
